Full_Date,all_beeps,Trait,Facet,value
2019-11-18 13:24,1,agreeableness,Compassion,NA
2019-11-18 13:24,1,agreeableness,Respectfulness,2.6666666666666665
2019-11-18 13:24,1,agreeableness,Trust,NA
2019-11-18 13:24,1,conscientiousness,Organization,NA
2019-11-18 13:24,1,conscientiousness,Productiveness,2
2019-11-18 13:24,1,conscientiousness,Responsibility,3
2019-11-18 13:24,1,extraversion,Assertiveness,2
2019-11-18 13:24,1,extraversion,Energy Level,NA
2019-11-18 13:24,1,extraversion,Sociability,2
2019-11-18 13:24,1,neuroticism,Anxiety,3.5
2019-11-18 13:24,1,neuroticism,Depression,2
2019-11-18 13:24,1,neuroticism,Emotional Volatility,2
2019-11-18 13:24,1,openness,Aesthetic Sensitivity,NA
2019-11-18 13:24,1,openness,Creative Imagination,2
2019-11-18 13:24,1,openness,Intellectual Curiosity,4
2019-11-18 15:40,2,agreeableness,Compassion,NA
2019-11-18 15:40,2,agreeableness,Respectfulness,4
2019-11-18 15:40,2,agreeableness,Trust,4
2019-11-18 15:40,2,conscientiousness,Organization,NA
2019-11-18 15:40,2,conscientiousness,Productiveness,4.5
2019-11-18 15:40,2,conscientiousness,Responsibility,NA
2019-11-18 15:40,2,extraversion,Assertiveness,1
2019-11-18 15:40,2,extraversion,Energy Level,1
2019-11-18 15:40,2,extraversion,Sociability,NA
2019-11-18 15:40,2,neuroticism,Anxiety,3
2019-11-18 15:40,2,neuroticism,Depression,4
2019-11-18 15:40,2,neuroticism,Emotional Volatility,3
2019-11-18 15:40,2,openness,Aesthetic Sensitivity,NA
2019-11-18 15:40,2,openness,Creative Imagination,1.5
2019-11-18 15:40,2,openness,Intellectual Curiosity,NA
2019-11-18 19:45,3,agreeableness,Compassion,2
2019-11-18 19:45,3,agreeableness,Respectfulness,NA
2019-11-18 19:45,3,agreeableness,Trust,3
2019-11-18 19:45,3,conscientiousness,Organization,2
2019-11-18 19:45,3,conscientiousness,Productiveness,NA
2019-11-18 19:45,3,conscientiousness,Responsibility,1
2019-11-18 19:45,3,extraversion,Assertiveness,NA
2019-11-18 19:45,3,extraversion,Energy Level,NA
2019-11-18 19:45,3,extraversion,Sociability,2
2019-11-18 19:45,3,neuroticism,Anxiety,4.5
2019-11-18 19:45,3,neuroticism,Depression,4
2019-11-18 19:45,3,neuroticism,Emotional Volatility,3
2019-11-18 19:45,3,openness,Aesthetic Sensitivity,2
2019-11-18 19:45,3,openness,Creative Imagination,NA
2019-11-18 19:45,3,openness,Intellectual Curiosity,3
2019-11-18 23:10,4,agreeableness,Compassion,NA
2019-11-18 23:10,4,agreeableness,Respectfulness,3
2019-11-18 23:10,4,agreeableness,Trust,3
2019-11-18 23:10,4,conscientiousness,Organization,4
2019-11-18 23:10,4,conscientiousness,Productiveness,5
2019-11-18 23:10,4,conscientiousness,Responsibility,NA
2019-11-18 23:10,4,extraversion,Assertiveness,5
2019-11-18 23:10,4,extraversion,Energy Level,NA
2019-11-18 23:10,4,extraversion,Sociability,5
2019-11-18 23:10,4,neuroticism,Anxiety,2
2019-11-18 23:10,4,neuroticism,Depression,2
2019-11-18 23:10,4,neuroticism,Emotional Volatility,NA
2019-11-18 23:10,4,openness,Aesthetic Sensitivity,3
2019-11-18 23:10,4,openness,Creative Imagination,4
2019-11-18 23:10,4,openness,Intellectual Curiosity,NA
2019-11-19 3:00,5,agreeableness,Compassion,NA
2019-11-19 3:00,5,agreeableness,Respectfulness,NA
2019-11-19 3:00,5,agreeableness,Trust,NA
2019-11-19 3:00,5,conscientiousness,Organization,NA
2019-11-19 3:00,5,conscientiousness,Productiveness,NA
2019-11-19 3:00,5,conscientiousness,Responsibility,NA
2019-11-19 3:00,5,extraversion,Assertiveness,NA
2019-11-19 3:00,5,extraversion,Energy Level,NA
2019-11-19 3:00,5,extraversion,Sociability,NA
2019-11-19 3:00,5,neuroticism,Anxiety,NA
2019-11-19 3:00,5,neuroticism,Depression,NA
2019-11-19 3:00,5,neuroticism,Emotional Volatility,NA
2019-11-19 3:00,5,openness,Aesthetic Sensitivity,NA
2019-11-19 3:00,5,openness,Creative Imagination,NA
2019-11-19 3:00,5,openness,Intellectual Curiosity,NA
2019-11-19 7:00,6,agreeableness,Compassion,NA
2019-11-19 7:00,6,agreeableness,Respectfulness,NA
2019-11-19 7:00,6,agreeableness,Trust,NA
2019-11-19 7:00,6,conscientiousness,Organization,NA
2019-11-19 7:00,6,conscientiousness,Productiveness,NA
2019-11-19 7:00,6,conscientiousness,Responsibility,NA
2019-11-19 7:00,6,extraversion,Assertiveness,NA
2019-11-19 7:00,6,extraversion,Energy Level,NA
2019-11-19 7:00,6,extraversion,Sociability,NA
2019-11-19 7:00,6,neuroticism,Anxiety,NA
2019-11-19 7:00,6,neuroticism,Depression,NA
2019-11-19 7:00,6,neuroticism,Emotional Volatility,NA
2019-11-19 7:00,6,openness,Aesthetic Sensitivity,NA
2019-11-19 7:00,6,openness,Creative Imagination,NA
2019-11-19 7:00,6,openness,Intellectual Curiosity,NA
2019-11-19 11:28,7,agreeableness,Compassion,NA
2019-11-19 11:28,7,agreeableness,Respectfulness,5
2019-11-19 11:28,7,agreeableness,Trust,3
2019-11-19 11:28,7,conscientiousness,Organization,NA
2019-11-19 11:28,7,conscientiousness,Productiveness,4
2019-11-19 11:28,7,conscientiousness,Responsibility,4
2019-11-19 11:28,7,extraversion,Assertiveness,4
2019-11-19 11:28,7,extraversion,Energy Level,NA
2019-11-19 11:28,7,extraversion,Sociability,NA
2019-11-19 11:28,7,neuroticism,Anxiety,2
2019-11-19 11:28,7,neuroticism,Depression,1
2019-11-19 11:28,7,neuroticism,Emotional Volatility,2
2019-11-19 11:28,7,openness,Aesthetic Sensitivity,NA
2019-11-19 11:28,7,openness,Creative Imagination,NA
2019-11-19 11:28,7,openness,Intellectual Curiosity,2.5
2019-11-19 15:01,8,agreeableness,Compassion,NA
