Full_Date,all_beeps,Trait,Facet,value
2018-10-22 11:34,1,agreeableness,Compassion,NA
2018-10-22 11:34,1,agreeableness,Respectfulness,3
2018-10-22 11:34,1,agreeableness,Trust,3
2018-10-22 11:34,1,conscientiousness,Organization,NA
2018-10-22 11:34,1,conscientiousness,Productiveness,NA
2018-10-22 11:34,1,conscientiousness,Responsibility,3
2018-10-22 11:34,1,extraversion,Assertiveness,NA
2018-10-22 11:34,1,extraversion,Energy Level,4
2018-10-22 11:34,1,extraversion,Sociability,2
2018-10-22 11:34,1,neuroticism,Anxiety,2
2018-10-22 11:34,1,neuroticism,Depression,2
2018-10-22 11:34,1,neuroticism,Emotional Volatility,2
2018-10-22 11:34,1,openness,Aesthetic Sensitivity,NA
2018-10-22 11:34,1,openness,Creative Imagination,2
2018-10-22 11:34,1,openness,Intellectual Curiosity,NA
2018-10-22 15:38,2,agreeableness,Compassion,3
2018-10-22 15:38,2,agreeableness,Respectfulness,NA
2018-10-22 15:38,2,agreeableness,Trust,NA
2018-10-22 15:38,2,conscientiousness,Organization,4
2018-10-22 15:38,2,conscientiousness,Productiveness,NA
2018-10-22 15:38,2,conscientiousness,Responsibility,4
2018-10-22 15:38,2,extraversion,Assertiveness,NA
2018-10-22 15:38,2,extraversion,Energy Level,4
2018-10-22 15:38,2,extraversion,Sociability,2
2018-10-22 15:38,2,neuroticism,Anxiety,4
2018-10-22 15:38,2,neuroticism,Depression,2
2018-10-22 15:38,2,neuroticism,Emotional Volatility,2
2018-10-22 15:38,2,openness,Aesthetic Sensitivity,2
2018-10-22 15:38,2,openness,Creative Imagination,3
2018-10-22 15:38,2,openness,Intellectual Curiosity,NA
2018-10-22 19:24,3,agreeableness,Compassion,3.3333333333333335
2018-10-22 19:24,3,agreeableness,Respectfulness,NA
2018-10-22 19:24,3,agreeableness,Trust,NA
2018-10-22 19:24,3,conscientiousness,Organization,2
2018-10-22 19:24,3,conscientiousness,Productiveness,NA
2018-10-22 19:24,3,conscientiousness,Responsibility,2
2018-10-22 19:24,3,extraversion,Assertiveness,3
2018-10-22 19:24,3,extraversion,Energy Level,NA
2018-10-22 19:24,3,extraversion,Sociability,NA
2018-10-22 19:24,3,neuroticism,Anxiety,4
2018-10-22 19:24,3,neuroticism,Depression,2
2018-10-22 19:24,3,neuroticism,Emotional Volatility,2
2018-10-22 19:24,3,openness,Aesthetic Sensitivity,NA
2018-10-22 19:24,3,openness,Creative Imagination,3
2018-10-22 19:24,3,openness,Intellectual Curiosity,NA
2018-10-22 23:00,4,agreeableness,Compassion,NA
2018-10-22 23:00,4,agreeableness,Respectfulness,NA
2018-10-22 23:00,4,agreeableness,Trust,NA
2018-10-22 23:00,4,conscientiousness,Organization,NA
2018-10-22 23:00,4,conscientiousness,Productiveness,NA
2018-10-22 23:00,4,conscientiousness,Responsibility,NA
2018-10-22 23:00,4,extraversion,Assertiveness,NA
2018-10-22 23:00,4,extraversion,Energy Level,NA
