Full_Date,all_beeps,Trait,Facet,value
2019-11-18 10:56,1,agreeableness,Compassion,3.3333333333333335
2019-11-18 10:56,1,agreeableness,Respectfulness,3.855517728368774
2019-11-18 10:56,1,agreeableness,Trust,4.6491734422061
2019-11-18 10:56,1,conscientiousness,Organization,4.869476033445981
2019-11-18 10:56,1,conscientiousness,Productiveness,5
2019-11-18 10:56,1,conscientiousness,Responsibility,4
2019-11-18 10:56,1,extraversion,Assertiveness,3.714138298354604
2019-11-18 10:56,1,extraversion,Energy.Level,2
2019-11-18 10:56,1,extraversion,Sociability,3.0223744376970747
2019-11-18 10:56,1,neuroticism,Anxiety,1
2019-11-18 10:56,1,neuroticism,Depression,1.5
2019-11-18 10:56,1,neuroticism,Emotional.Volatility,1
2019-11-18 10:56,1,openness,Aesthetic.Sensitivity,2
2019-11-18 10:56,1,openness,Creative.Imagination,1.5129917659920766
2019-11-18 10:56,1,openness,Intellectual.Curiosity,4
2019-11-18 12:00,2,agreeableness,Compassion,NA
2019-11-18 12:00,2,agreeableness,Respectfulness,NA
2019-11-18 12:00,2,agreeableness,Trust,NA
2019-11-18 12:00,2,conscientiousness,Organization,NA
2019-11-18 12:00,2,conscientiousness,Productiveness,NA
2019-11-18 12:00,2,conscientiousness,Responsibility,NA
2019-11-18 12:00,2,extraversion,Assertiveness,NA
2019-11-18 12:00,2,extraversion,Energy.Level,NA
2019-11-18 12:00,2,extraversion,Sociability,NA
2019-11-18 12:00,2,neuroticism,Anxiety,NA
2019-11-18 12:00,2,neuroticism,Depression,NA
2019-11-18 12:00,2,neuroticism,Emotional.Volatility,NA
2019-11-18 12:00,2,openness,Aesthetic.Sensitivity,NA
2019-11-18 12:00,2,openness,Creative.Imagination,NA
2019-11-18 12:00,2,openness,Intellectual.Curiosity,NA
2019-11-18 16:00,3,agreeableness,Compassion,NA
2019-11-18 16:00,3,agreeableness,Respectfulness,NA
2019-11-18 16:00,3,agreeableness,Trust,NA
2019-11-18 16:00,3,conscientiousness,Organization,NA
2019-11-18 16:00,3,conscientiousness,Productiveness,NA
2019-11-18 16:00,3,conscientiousness,Responsibility,NA
2019-11-18 16:00,3,extraversion,Assertiveness,NA
2019-11-18 16:00,3,extraversion,Energy.Level,NA
2019-11-18 16:00,3,extraversion,Sociability,NA
2019-11-18 16:00,3,neuroticism,Anxiety,NA
2019-11-18 16:00,3,neuroticism,Depression,NA
2019-11-18 16:00,3,neuroticism,Emotional.Volatility,NA
2019-11-18 16:00,3,openness,Aesthetic.Sensitivity,NA
2019-11-18 16:00,3,openness,Creative.Imagination,NA
2019-11-18 16:00,3,openness,Intellectual.Curiosity,NA
2019-11-18 20:00,4,agreeableness,Compassion,NA
2019-11-18 20:00,4,agreeableness,Respectfulness,NA
2019-11-18 20:00,4,agreeableness,Trust,NA
2019-11-18 20:00,4,conscientiousness,Organization,NA
2019-11-18 20:00,4,conscientiousness,Productiveness,NA
2019-11-18 20:00,4,conscientiousness,Responsibility,NA
2019-11-18 20:00,4,extraversion,Assertiveness,NA
2019-11-18 20:00,4,extraversion,Energy.Level,NA
2019-11-18 20:00,4,extraversion,Sociability,NA
2019-11-18 20:00,4,neuroticism,Anxiety,NA
2019-11-18 20:00,4,neuroticism,Depression,NA
2019-11-18 20:00,4,neuroticism,Emotional.Volatility,NA
2019-11-18 20:00,4,openness,Aesthetic.Sensitivity,NA
2019-11-18 20:00,4,openness,Creative.Imagination,NA
2019-11-18 20:00,4,openness,Intellectual.Curiosity,NA
2019-11-19 0:00,5,agreeableness,Compassion,NA
2019-11-19 0:00,5,agreeableness,Respectfulness,NA
2019-11-19 0:00,5,agreeableness,Trust,NA
2019-11-19 0:00,5,conscientiousness,Organization,NA
2019-11-19 0:00,5,conscientiousness,Productiveness,NA
2019-11-19 0:00,5,conscientiousness,Responsibility,NA
2019-11-19 0:00,5,extraversion,Assertiveness,NA
2019-11-19 0:00,5,extraversion,Energy.Level,NA
2019-11-19 0:00,5,extraversion,Sociability,NA
2019-11-19 0:00,5,neuroticism,Anxiety,NA
2019-11-19 0:00,5,neuroticism,Depression,NA
2019-11-19 0:00,5,neuroticism,Emotional.Volatility,NA
2019-11-19 0:00,5,openness,Aesthetic.Sensitivity,NA
2019-11-19 0:00,5,openness,Creative.Imagination,NA
2019-11-19 0:00,5,openness,Intellectual.Curiosity,NA
2019-11-19 4:00,6,agreeableness,Compassion,NA
2019-11-19 4:00,6,agreeableness,Respectfulness,NA
2019-11-19 4:00,6,agreeableness,Trust,NA
2019-11-19 4:00,6,conscientiousness,Organization,NA
2019-11-19 4:00,6,conscientiousness,Productiveness,NA
2019-11-19 4:00,6,conscientiousness,Responsibility,NA
2019-11-19 4:00,6,extraversion,Assertiveness,NA
2019-11-19 4:00,6,extraversion,Energy.Level,NA
2019-11-19 4:00,6,extraversion,Sociability,NA
2019-11-19 4:00,6,neuroticism,Anxiety,NA
2019-11-19 4:00,6,neuroticism,Depression,NA
2019-11-19 4:00,6,neuroticism,Emotional.Volatility,NA
2019-11-19 4:00,6,openness,Aesthetic.Sensitivity,NA
2019-11-19 4:00,6,openness,Creative.Imagination,NA
2019-11-19 4:00,6,openness,Intellectual.Curiosity,NA
2019-11-19 8:00,7,agreeableness,Compassion,NA
2019-11-19 8:00,7,agreeableness,Respectfulness,NA
2019-11-19 8:00,7,agreeableness,Trust,NA
2019-11-19 8:00,7,conscientiousness,Organization,NA
2019-11-19 8:00,7,conscientiousness,Productiveness,NA
2019-11-19 8:00,7,conscientiousness,Responsibility,NA
2019-11-19 8:00,7,extraversion,Assertiveness,NA
2019-11-19 8:00,7,extraversion,Energy.Level,NA
2019-11-19 8:00,7,extraversion,Sociability,NA
2019-11-19 8:00,7,neuroticism,Anxiety,NA
2019-11-19 8:00,7,neuroticism,Depression,NA
2019-11-19 8:00,7,neuroticism,Emotional.Volatility,NA
2019-11-19 8:00,7,openness,Aesthetic.Sensitivity,NA
2019-11-19 8:00,7,openness,Creative.Imagination,NA
2019-11-19 8:00,7,openness,Intellectual.Curiosity,NA
2019-11-19 12:00,8,agreeableness,Compassion,NA
2019-11-19 12:00,8,agreeableness,Respectfulness,NA
2019-11-19 12:00,8,agreeableness,Trust,NA
2019-11-19 12:00,8,conscientiousness,Organization,NA
2019-11-19 12:00,8,conscientiousness,Productiveness,NA
2019-11-19 12:00,8,conscientiousness,Responsibility,NA
2019-11-19 12:00,8,extraversion,Assertiveness,NA
2019-11-19 12:00,8,extraversion,Energy.Level,NA
2019-11-19 12:00,8,extraversion,Sociability,NA
2019-11-19 12:00,8,neuroticism,Anxiety,NA
2019-11-19 12:00,8,neuroticism,Depression,NA
2019-11-19 12:00,8,neuroticism,Emotional.Volatility,NA
2019-11-19 12:00,8,openness,Aesthetic.Sensitivity,NA
2019-11-19 12:00,8,openness,Creative.Imagination,NA
2019-11-19 12:00,8,openness,Intellectual.Curiosity,NA
2019-11-19 16:00,9,agreeableness,Compassion,NA
2019-11-19 16:00,9,agreeableness,Respectfulness,NA
2019-11-19 16:00,9,agreeableness,Trust,NA
2019-11-19 16:00,9,conscientiousness,Organization,NA
2019-11-19 16:00,9,conscientiousness,Productiveness,NA
2019-11-19 16:00,9,conscientiousness,Responsibility,NA
2019-11-19 16:00,9,extraversion,Assertiveness,NA
2019-11-19 16:00,9,extraversion,Energy.Level,NA
2019-11-19 16:00,9,extraversion,Sociability,NA
2019-11-19 16:00,9,neuroticism,Anxiety,NA
2019-11-19 16:00,9,neuroticism,Depression,NA
2019-11-19 16:00,9,neuroticism,Emotional.Volatility,NA
2019-11-19 16:00,9,openness,Aesthetic.Sensitivity,NA
2019-11-19 16:00,9,openness,Creative.Imagination,NA
2019-11-19 16:00,9,openness,Intellectual.Curiosity,NA
2019-11-19 20:00,10,agreeableness,Compassion,NA
2019-11-19 20:00,10,agreeableness,Respectfulness,NA
2019-11-19 20:00,10,agreeableness,Trust,NA
2019-11-19 20:00,10,conscientiousness,Organization,NA
2019-11-19 20:00,10,conscientiousness,Productiveness,NA
2019-11-19 20:00,10,conscientiousness,Responsibility,NA
2019-11-19 20:00,10,extraversion,Assertiveness,NA
2019-11-19 20:00,10,extraversion,Energy.Level,NA
2019-11-19 20:00,10,extraversion,Sociability,NA
2019-11-19 20:00,10,neuroticism,Anxiety,NA
2019-11-19 20:00,10,neuroticism,Depression,NA
2019-11-19 20:00,10,neuroticism,Emotional.Volatility,NA
2019-11-19 20:00,10,openness,Aesthetic.Sensitivity,NA
2019-11-19 20:00,10,openness,Creative.Imagination,NA
2019-11-19 20:00,10,openness,Intellectual.Curiosity,NA
2019-11-20 0:00,11,agreeableness,Compassion,NA
2019-11-20 0:00,11,agreeableness,Respectfulness,NA
2019-11-20 0:00,11,agreeableness,Trust,NA
2019-11-20 0:00,11,conscientiousness,Organization,NA
2019-11-20 0:00,11,conscientiousness,Productiveness,NA
2019-11-20 0:00,11,conscientiousness,Responsibility,NA
2019-11-20 0:00,11,extraversion,Assertiveness,NA
2019-11-20 0:00,11,extraversion,Energy.Level,NA
2019-11-20 0:00,11,extraversion,Sociability,NA
2019-11-20 0:00,11,neuroticism,Anxiety,NA
2019-11-20 0:00,11,neuroticism,Depression,NA
2019-11-20 0:00,11,neuroticism,Emotional.Volatility,NA
2019-11-20 0:00,11,openness,Aesthetic.Sensitivity,NA
2019-11-20 0:00,11,openness,Creative.Imagination,NA
