Full_Date,all_beeps,Trait,Facet,value
2018-10-29 9:45,1,agreeableness,Compassion,4.6280253979335
2018-10-29 9:45,1,agreeableness,Respectfulness,3.3333333333333335
2018-10-29 9:45,1,agreeableness,Trust,3.914436684923745
2018-10-29 9:45,1,conscientiousness,Organization,3.4996466519082934
2018-10-29 9:45,1,conscientiousness,Productiveness,5
2018-10-29 9:45,1,conscientiousness,Responsibility,4.650615787161639
2018-10-29 9:45,1,extraversion,Assertiveness,3
2018-10-29 9:45,1,extraversion,Energy.Level,2.814489912004988
2018-10-29 9:45,1,extraversion,Sociability,2
2018-10-29 9:45,1,neuroticism,Anxiety,3
2018-10-29 9:45,1,neuroticism,Depression,3
2018-10-29 9:45,1,neuroticism,Emotional.Volatility,4
2018-10-29 9:45,1,openness,Aesthetic.Sensitivity,2
2018-10-29 9:45,1,openness,Creative.Imagination,2.698313832822656
2018-10-29 9:45,1,openness,Intellectual.Curiosity,4
2018-10-29 13:38,2,agreeableness,Compassion,3
2018-10-29 13:38,2,agreeableness,Respectfulness,4
2018-10-29 13:38,2,agreeableness,Trust,2.1917851279656366
2018-10-29 13:38,2,conscientiousness,Organization,5
2018-10-29 13:38,2,conscientiousness,Productiveness,4.700523317957557
2018-10-29 13:38,2,conscientiousness,Responsibility,5
2018-10-29 13:38,2,extraversion,Assertiveness,3
2018-10-29 13:38,2,extraversion,Energy.Level,2.62489805507665
2018-10-29 13:38,2,extraversion,Sociability,2
2018-10-29 13:38,2,neuroticism,Anxiety,3.5
2018-10-29 13:38,2,neuroticism,Depression,3
2018-10-29 13:38,2,neuroticism,Emotional.Volatility,2
2018-10-29 13:38,2,openness,Aesthetic.Sensitivity,4.444057565142398
2018-10-29 13:38,2,openness,Creative.Imagination,3
2018-10-29 13:38,2,openness,Intellectual.Curiosity,4
2018-10-29 17:16,3,agreeableness,Compassion,4
2018-10-29 17:16,3,agreeableness,Respectfulness,4
2018-10-29 17:16,3,agreeableness,Trust,3.4725052506029077
2018-10-29 17:16,3,conscientiousness,Organization,4
2018-10-29 17:16,3,conscientiousness,Productiveness,3.8316002908742806
2018-10-29 17:16,3,conscientiousness,Responsibility,2
2018-10-29 17:16,3,extraversion,Assertiveness,3.297149504616492
2018-10-29 17:16,3,extraversion,Energy.Level,3.5437128828415863
2018-10-29 17:16,3,extraversion,Sociability,2
2018-10-29 17:16,3,neuroticism,Anxiety,4
2018-10-29 17:16,3,neuroticism,Depression,2
2018-10-29 17:16,3,neuroticism,Emotional.Volatility,2
2018-10-29 17:16,3,openness,Aesthetic.Sensitivity,2.3980320158312316
